departamentos,key_fecha,programatica1_ano,id_detail,pct_cobertura
BOLIVAR,1,22993,139,0.5
BOLIVAR,1,22993,140,0.47
BOLIVAR,1,22993,141,0.76
BOLIVAR,1,22993,142,0.78
BOLIVAR,1,22993,143,0.77
BOLIVAR,1,22993,144,0.78
BOLIVAR,1,22993,145,0.79
BOLIVAR,1,22993,146,0.74
BOLIVAR,1,22993,147,0.75
BOLIVAR,1,22993,148,0.68
BOLIVAR,1,22993,149,0.45
BOLIVAR,1,22993,150,0.74
BOLIVAR,1,22993,151,0.75
BOLIVAR,1,22993,152,0.82
BOLIVAR,1,22993,153,0.78
BOLIVAR,1,22993,154,0.61
BOLIVAR,1,22993,155,0.79
BOLIVAR,1,22993,156,0.82
BOLIVAR,1,22993,157,0.83
BOLIVAR,1,22993,158,0.84
BOLIVAR,1,22993,159,0.84
BOLIVAR,1,22993,160,0.83
BOLIVAR,1,22993,161,0.6
CARTAGENA,1,19587,162,0.98
CARTAGENA,1,19587,163,0.97
CARTAGENA,1,19587,164,0.93
CARTAGENA,1,19587,165,0.88
CARTAGENA,1,19587,166,0.93
CARTAGENA,1,19587,167,0.91
CARTAGENA,1,19587,168,0.88
CARTAGENA,1,19587,169,0.9
CARTAGENA,1,19587,170,0.9
CARTAGENA,1,19587,171,0.73
CARTAGENA,1,19587,172,0.58
CARTAGENA,1,19587,173,0.89
CARTAGENA,1,19587,174,0.85
CARTAGENA,1,19587,175,0.92
CARTAGENA,1,19587,176,0.9
CARTAGENA,1,19587,177,0.69
CARTAGENA,1,19587,178,0.83
CARTAGENA,1,19587,179,0.8
CARTAGENA,1,19587,180,0.8
CARTAGENA,1,19587,181,0.78
CARTAGENA,1,19587,182,0.78
CARTAGENA,1,19587,183,0.79
CARTAGENA,1,19587,184,0.77
BOYACA,1,16748,185,0.93
BOYACA,1,16748,186,0.92
BOYACA,1,16748,187,0.94
BOYACA,1,16748,188,0.92
BOYACA,1,16748,189,0.94
BOYACA,1,16748,190,0.92
BOYACA,1,16748,191,0.92
BOYACA,1,16748,192,0.93
BOYACA,1,16748,193,0.91
BOYACA,1,16748,194,0.84
BOYACA,1,16748,195,0.71
BOYACA,1,16748,196,0.94
BOYACA,1,16748,197,0.92
BOYACA,1,16748,198,0.94
BOYACA,1,16748,199,0.93
BOYACA,1,16748,200,0.84
BOYACA,1,16748,201,0.93
BOYACA,1,16748,202,0.91
BOYACA,1,16748,203,0.91
BOYACA,1,16748,204,1.01
BOYACA,1,16748,205,1.01
BOYACA,1,16748,206,1.01
BOYACA,1,16748,207,0.81
CALDAS,1,10498,208,0.94
CALDAS,1,10498,209,0.93
CALDAS,1,10498,210,0.93
CALDAS,1,10498,211,0.93
CALDAS,1,10498,212,0.93
CALDAS,1,10498,213,0.92
CALDAS,1,10498,214,0.93
CALDAS,1,10498,215,0.91
CALDAS,1,10498,216,0.91
CALDAS,1,10498,217,0.81
CALDAS,1,10498,218,0.63
CALDAS,1,10498,219,0.92
CALDAS,1,10498,220,0.92
CALDAS,1,10498,221,0.94
CALDAS,1,10498,222,0.94
CALDAS,1,10498,223,0.78
CALDAS,1,10498,224,0.93
CALDAS,1,10498,225,0.95
CALDAS,1,10498,226,0.93
CALDAS,1,10498,227,0.99
CALDAS,1,10498,228,0.98
CALDAS,1,10498,229,0.98
CALDAS,1,10498,230,0.82
